n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,3,9873,98,29,1.060084944107389,4.995644687531452
10000,0.0005,2,3,9872,99,29,1.0608553601320423,4.995745973867925
10000,0.0005,2,3,9871,100,29,1.0616106471411058,4.995542949757198
10000,0.0005,2,3,9871,100,29,1.0623486545211795,4.995238577652182
10000,0.0005,2,3,9871,99,30,1.0630893952619203,4.995339884510656
10000,0.0005,2,3,9871,99,30,1.0638418407096253,4.995339884510656
10000,0.0005,2,3,9871,98,31,1.0645971277186888,4.995441191369131
10000,0.0005,2,3,9871,98,31,1.0653587423416895,4.995441191369131
10000,0.0005,2,3,9871,98,31,1.0661232683355732,4.995542498227605
10000,0.0005,2,3,9871,98,31,1.0668907280439386,4.995643805086079
10000,0.0005,2,3,9870,99,31,1.067661144068592,4.9957451119445535
10000,0.0005,2,3,9870,99,31,1.0684164310776554,4.995542046605784
10000,0.0005,2,3,9870,99,31,1.069174581191378,4.9956433637283775
10000,0.0005,2,3,9870,99,31,1.0699356161989884,4.995744680850971
10000,0.0005,2,3,9869,100,31,1.070699558139401,4.995845997973565
10000,0.0005,2,3,9869,100,31,1.0714600144131652,4.996048231836973
10000,0.0005,2,3,9869,99,32,1.0722233731917912,4.996149559225766
10000,0.0005,2,3,9868,100,32,1.0729902443574353,4.996149559225766
10000,0.0005,2,3,9868,100,32,1.0737337387812271,4.995642480745855
10000,0.0005,2,3,9867,101,32,1.0744800074379435,4.995743818402929
10000,0.0005,2,3,9866,102,32,1.0752201998879805,4.9958447349755195
10000,0.0005,2,3,9865,103,32,1.0759544142785824,4.995945672005014
10000,0.0005,2,3,9864,104,32,1.0766722893683167,4.995641155600885
10000,0.0005,2,3,9864,104,32,1.0773720794312978,4.995235198701906
10000,0.0005,2,3,9864,104,32,1.078074326622309,4.995336577452919
10000,0.0005,2,3,9863,105,32,1.0787790482572632,4.995437956203933
10000,0.0005,2,3,9863,105,32,1.0794710897797546,4.995234715604425
10000,0.0005,2,3,9862,106,32,1.0801655342241991,4.995336104634132
10000,0.0005,2,3,9861,107,32,1.0808430409992669,4.9949300344755745
10000,0.0005,2,3,9861,107,32,1.08152008906968,4.995233749112875
10000,0.0005,2,3,9861,107,32,1.0821994368957668,4.995335158706222
10000,0.0005,2,3,9861,106,33,1.0828811001541172,4.99543656829957
10000,0.0005,2,3,9861,106,33,1.0835632283942263,4.99543656829957
10000,0.0005,2,3,9861,106,33,1.0842476910910093,4.995537977892917
10000,0.0005,2,3,9861,106,33,1.0849345042778225,4.995537977892917
