n,p,lambda,rho,s,i,r,t,mu,newmu
100000,5e-05,2,3,99891,94,15,0.8333357455350234,5.003353621910899,5.898989898989899
100000,5e-05,2,3,99890,95,15,0.8341875342914118,5.003353621910899,5.898989898989899
100000,5e-05,2,3,99890,95,15,0.8350139805724035,5.003353621910899,5.898989898989899
100000,5e-05,2,3,99890,95,15,0.8358438560910757,5.003403744120401,5.898989898989899
100000,5e-05,2,3,99890,95,15,0.836677189424409,5.003403744120401,5.898989898989899
100000,5e-05,2,3,99890,95,15,0.8375140095080911,5.003403744120401,5.898989898989899
100000,5e-05,2,3,99889,96,15,0.8383543456425449,5.003403744120401,5.898989898989899
100000,5e-05,2,3,99889,96,15,0.8391869851096556,5.003403744120401,5.898989898989899
100000,5e-05,2,3,99889,96,15,0.8400231055109935,5.003403744120401,5.898989898989899
100000,5e-05,2,3,99888,97,15,0.8408627360735459,5.003403744120401,5.898989898989899
100000,5e-05,2,3,99888,97,15,0.841684428760481,5.003403744120401,5.898989898989899
100000,5e-05,2,3,99888,96,16,0.8425095112687319,5.003403744120401,5.898989898989899
100000,5e-05,2,3,99888,96,16,0.8433386986650835,5.003403744120401,5.898989898989899
100000,5e-05,2,3,99887,97,16,0.8441713381321942,5.003463879546767,5.898989898989899
100000,5e-05,2,3,99887,97,16,0.8449930308191294,5.003463879546767,5.898989898989899
100000,5e-05,2,3,99887,97,16,0.8458181133273802,5.003463879546767,5.898989898989899
100000,5e-05,2,3,99887,97,16,0.8466466137416304,5.003463879546767,5.898989898989899
100000,5e-05,2,3,99887,97,16,0.8474785604970381,5.003463879546767,5.898989898989899
100000,5e-05,2,3,99886,98,16,0.8483139823850916,5.003463879546767,5.898989898989899
100000,5e-05,2,3,99886,98,16,0.8491316438732355,5.003463879546767,5.898989898989899
100000,5e-05,2,3,99886,98,16,0.8499526619356329,5.003463879546767,5.898989898989899
100000,5e-05,2,3,99886,98,16,0.8507770642439594,5.003463879546767,5.898989898989899
100000,5e-05,2,3,99886,97,17,0.8516048788134958,5.003463879546767,5.898989898989899
100000,5e-05,2,3,99885,98,17,0.8524438049879924,5.003514005970119,5.898989898989899
100000,5e-05,2,3,99885,98,17,0.8532716195575288,5.003514005970119,5.898989898989899
100000,5e-05,2,3,99885,98,17,0.8541028747528738,5.003514005970119,5.898989898989899
100000,5e-05,2,3,99885,98,17,0.8549375992937753,5.003514005970119,5.898989898989899
100000,5e-05,2,3,99884,99,17,0.8557758222610846,5.003514005970119,5.898989898989899
100000,5e-05,2,3,99884,99,17,0.8566063870451378,5.003514005970119,5.898989898989899
100000,5e-05,2,3,99884,99,17,0.8574404154021019,5.003514005970119,5.898989898989899
100000,5e-05,2,3,99884,99,17,0.8582779363401254,5.003514005970119,5.898989898989899
100000,5e-05,2,3,99884,99,17,0.8591189792333129,5.003514005970119,5.898989898989899
100000,5e-05,2,3,99884,98,18,0.8599635738279076,5.003514005970119,5.898989898989899
100000,5e-05,2,3,99884,98,18,0.8608124702625425,5.003594169230388,5.898989898989899
100000,5e-05,2,3,99884,98,18,0.8616649851815535,5.003594169230388,5.898989898989899
100000,5e-05,2,3,99884,98,18,0.8625211495651152,5.003594169230388,5.898989898989899
100000,5e-05,2,3,99884,98,18,0.8633809947929741,5.003594169230388,5.898989898989899
