S,I,R,mu,t
0.20187248277414863,0.3762101829351391,0.4219173342907125,5.722900001332003,3.41
0.20050290233566906,0.37381766154426727,0.4256794361200638,5.723314722237215,3.42
0.1991776060881692,0.37140478117632447,0.4294176127355065,5.7237133108533325,3.43
0.19789523111083673,0.3689731083418936,0.4331316605472697,5.724096441420471,3.44
0.19665445241356386,0.36652415595574755,0.43682139163068867,5.724464757701052,3.45
0.19545398224145258,0.3640593845683014,0.4404866331902461,5.724818874407555,3.46
0.19429256935322536,0.36158020361084564,0.44412722703592916,5.725159378568601,3.47
0.1931689982786456,0.35908797264931697,0.4477430290720376,5.725486830834997,3.48
0.19208208855956152,0.35658400264190787,0.45133390879853075,5.725801766727479,3.49
0.19103069397872977,0.35406955719632055,0.4548997488249499,5.726104697827959,3.5
0.19001370178015134,0.35154585382293574,0.45844044439691306,5.726396112916158,3.51
